# Lexia 3 full USB dump (control+bulk+interrupt, включая пустые)
# ts,type,xfer,dir,ep,bus,dev,status,length,caplen,setup,data
1786904268.507574,S,CTRL,IN,0,1,1,4294967181,4,0,a300000001000400,
1786904268.507598,C,CTRL,IN,0,1,1,0,4,4,,00010000
1786904268.507605,S,CTRL,IN,0,1,1,4294967181,4,0,a300000002000400,
1786904268.507609,C,CTRL,IN,0,1,1,0,4,4,,01010100
1786904268.507611,S,CTRL,OUT,0,1,1,4294967181,0,0,2301100002000000,
1786904268.507615,C,CTRL,OUT,0,1,1,0,0,0,,
1786904268.507617,S,CTRL,IN,0,1,1,4294967181,4,0,a300000003000400,
1786904268.507620,C,CTRL,IN,0,1,1,0,4,4,,07050000
1786904268.507622,S,CTRL,IN,0,1,1,4294967181,4,0,a300000004000400,
1786904268.507625,C,CTRL,IN,0,1,1,0,4,4,,07010000
1786904268.507627,S,CTRL,IN,0,1,1,4294967181,4,0,a300000005000400,
1786904268.507630,C,CTRL,IN,0,1,1,0,4,4,,07010000
1786904268.531613,S,CTRL,IN,0,2,1,4294967181,4,0,a300000001000400,
1786904268.531637,C,CTRL,IN,0,2,1,0,4,4,,a0020000
1786904268.531650,S,CTRL,IN,0,2,1,4294967181,4,0,a300000002000400,
1786904268.531655,C,CTRL,IN,0,2,1,0,4,4,,a0020000
1786904268.531661,S,INT,IN,1,2,1,4294967181,2,0,,
1786904268.611566,S,INT,IN,1,1,1,4294967181,4,0,,
1786904268.611585,S,CTRL,IN,0,1,1,4294967181,4,0,a300000002000400,
1786904268.611600,C,CTRL,IN,0,1,1,0,4,4,,01010000
1786904268.614970,S,CTRL,OUT,0,1,1,4294967181,0,0,2303040002000000,
1786904268.614985,C,CTRL,OUT,0,1,1,0,0,0,,
1786904268.678257,S,CTRL,IN,0,1,1,4294967181,4,0,a300000002000400,
1786904268.678280,C,CTRL,IN,0,1,1,0,4,4,,03011000
1786904268.678291,S,CTRL,OUT,0,1,1,4294967181,0,0,2301140002000000,
1786904268.678297,C,CTRL,OUT,0,1,1,0,0,0,,
1786904268.731639,S,CTRL,IN,0,1,0,4294967181,64,0,8006000100004000,
1786904268.734339,C,CTRL,IN,0,1,0,0,8,8,,12010001ffffff08
1786904268.734376,S,CTRL,OUT,0,1,1,4294967181,0,0,2303040002000000,
1786904268.734392,C,CTRL,OUT,0,1,1,0,0,0,,
1786904268.734962,S,CTRL,OUT,0,2,1,4294967181,0,0,23031b0001070000,
1786904268.734986,C,CTRL,OUT,0,2,1,0,0,0,,
1786904268.734997,S,CTRL,OUT,0,2,1,4294967181,0,0,23031b0002070000,
1786904268.735008,C,CTRL,OUT,0,2,1,0,0,0,,
1786904268.735022,C,INT,IN,1,2,1,4294967294,0,0,,
1786904268.794909,S,CTRL,IN,0,1,1,4294967181,4,0,a300000002000400,
1786904268.794939,C,CTRL,IN,0,1,1,0,4,4,,03011000
1786904268.794945,S,CTRL,OUT,0,1,1,4294967181,0,0,2301140002000000,
1786904268.794958,C,CTRL,OUT,0,1,1,0,0,0,,
1786904268.861591,S,CTRL,IN,0,1,16,4294967181,18,0,8006000100001200,
1786904268.864342,C,CTRL,IN,0,1,16,0,18,18,,12010001ffffff083a1008f0000100000001
1786904268.864358,S,CTRL,IN,0,1,16,4294967181,9,0,8006000200000900,
1786904268.868337,C,CTRL,IN,0,1,16,0,9,9,,09022000010100005a
1786904268.868372,S,CTRL,IN,0,1,16,4294967181,32,0,8006000200002000,
1786904268.872342,C,CTRL,IN,0,1,16,0,32,32,,09022000010100005a0904000002ffff0000070585024000ff070506024000ff
1786904268.873679,S,CTRL,OUT,0,1,16,4294967181,0,0,0009010000000000,
1786904268.874335,C,CTRL,OUT,0,1,16,0,0,0,,
1786904294.289536,S,CTRL,OUT,0,1,1,4294967181,0,0,2303040002000000,
1786904294.289552,C,CTRL,OUT,0,1,1,0,0,0,,
1786904294.354894,S,CTRL,IN,0,1,1,4294967181,4,0,a300000002000400,
