# Lexia 3 USB traffic dump
# timestamp,type,direction,endpoint,device,length,hex_data
1773510312.899766,S,OUT,6,78,25,400915c000fe0000aa00000000000000000000000000000039
1773510312.900742,C,IN ,5,78,3,064009
1773510312.901189,S,OUT,6,78,5,410901c0f4
1773510312.901643,C,IN ,5,78,4,42410900
1773510312.901942,S,OUT,6,78,5,430901c0f2
1773510312.902716,C,IN ,5,78,27,440917c000fe0000aa000000000000fe020001aa00000000010087
1773510312.903195,S,OUT,6,78,3,064409
1773510312.907406,S,OUT,6,78,26,400916c0000b0100aa0000000000000000000000000000000327
1773510312.922422,C,IN ,5,78,3,064009
1773510312.923029,S,OUT,6,78,5,410901c0f4
1773510312.923543,C,IN ,5,78,4,42410900
1773510312.923973,S,OUT,6,78,5,430901c0f2
1773510312.924723,C,IN ,5,78,27,440917c0000b0100aa0000000000000b020001aa000000000c6100
1773510312.925191,S,OUT,6,78,3,064409
1773510325.169338,S,OUT,6,78,27,400917c0ff020200000000000000000000000000000000001001cb
1773510325.171018,C,IN ,5,78,3,064009
1773510325.171379,S,OUT,6,78,5,410901c0f4
1773510325.174246,C,IN ,5,78,4,42410901
1773510325.174649,S,OUT,6,78,5,410901c0f4
1773510325.175123,C,IN ,5,78,4,42410901
1773510325.175482,S,OUT,6,78,5,410901c0f4
1773510325.175991,C,IN ,5,78,4,42410901
1773510325.176365,S,OUT,6,78,5,410901c0f4
1773510325.176773,C,IN ,5,78,4,42410901
1773510325.177055,S,OUT,6,78,5,410901c0f4
1773510325.177486,C,IN ,5,78,4,42410901
1773510325.177792,S,OUT,6,78,5,410901c0f4
1773510325.178236,C,IN ,5,78,4,42410901
1773510325.178658,S,OUT,6,78,5,410901c0f4
1773510325.179837,C,IN ,5,78,4,42410901
1773510325.180379,S,OUT,6,78,5,410901c0f4
1773510325.183234,C,IN ,5,78,4,42410901
1773510325.184139,S,OUT,6,78,5,410901c0f4
1773510325.184670,C,IN ,5,78,4,42410901
1773510325.185110,S,OUT,6,78,5,410901c0f4
1773510325.185569,C,IN ,5,78,4,42410901
1773510325.186482,S,OUT,6,78,5,410901c0f4
1773510325.187031,C,IN ,5,78,4,42410901
1773510325.187461,S,OUT,6,78,5,410901c0f4
1773510325.187952,C,IN ,5,78,4,42410901
1773510325.188328,S,OUT,6,78,5,410901c0f4
1773510325.188779,C,IN ,5,78,4,42410901
1773510325.189081,S,OUT,6,78,5,410901c0f4
1773510325.189515,C,IN ,5,78,4,42410901
1773510325.189791,S,OUT,6,78,5,410901c0f4
1773510325.190196,C,IN ,5,78,4,42410901
1773510325.190459,S,OUT,6,78,5,410901c0f4
1773510325.190876,C,IN ,5,78,4,42410901
1773510325.191181,S,OUT,6,78,5,410901c0f4
1773510325.191617,C,IN ,5,78,4,42410901
1773510325.191890,S,OUT,6,78,5,410901c0f4
1773510325.192370,C,IN ,5,78,4,42410901
1773510325.192664,S,OUT,6,78,5,410901c0f4
1773510325.193136,C,IN ,5,78,4,42410901
1773510325.193408,S,OUT,6,78,5,410901c0f4
1773510325.194175,C,IN ,5,78,4,42410901
1773510325.194617,S,OUT,6,78,5,410901c0f4
1773510325.195271,C,IN ,5,78,4,42410900
1773510325.195585,S,OUT,6,78,5,430901c0f2
1773510325.196291,C,IN ,5,78,32,44091cc0ff020200000000000000ff02070001aa0000000001120200055001b5
1773510325.196600,S,OUT,6,78,3,064409
1773510325.332085,S,OUT,6,78,25,400915c000fe0000aa00000000000000000000000000000039
1773510325.333056,C,IN ,5,78,3,064009
1773510325.334357,S,OUT,6,78,5,410901c0f4
1773510325.334883,C,IN ,5,78,4,42410900
1773510325.335316,S,OUT,6,78,5,430901c0f2
1773510325.336000,C,IN ,5,78,27,440917c000fe0000aa000000000000fe020001aa00000000000088
1773510325.336506,S,OUT,6,78,3,064409
1773510325.342579,S,OUT,6,78,53,400931c000051c00aa0000000000000000000000000000004646585858584330312b32585843325858583030303030303030303000
1773510325.496912,C,IN ,5,78,3,064009
1773510325.497986,S,OUT,6,78,5,410901c0f4
1773510325.499132,C,IN ,5,78,4,42410900
1773510325.500131,S,OUT,6,78,5,430901c0f2
1773510325.501388,C,IN ,5,78,25,440915c000051c00aa00000000000005000003aa0000000060
1773510325.502505,S,OUT,6,78,3,064409
1773510325.506299,S,OUT,6,78,256,4009fc800016a401aa0000000000000000000000000000005400fa0054010a00540219005403fa00540400005405fa00540604005407e8035408000054090a00540a8813540b0000540c000050000000500152075002520650030a004355000001015600ff005200ff004355000002025600ff005200ff004355000003025600ff005200ff004350b80b0400443e4400417e41004350b80b0500443e4400417e41004355000006005600ff005200ff004355000007014410560101005200ff004355000008014410560101005200ff004355000009024410560101005200ff0043550000100044355601040044115200ff00435500001100442e5601ff005293
1773510325.510390,C,IN ,5,78,3,064009
1773510325.511352,S,OUT,6,78,194,4009be4100ff0043550000120044225601ff005200ff004355000013004419440244094159410241095203fc0043550000140044194401440941594101410941005204020043550000150044125601ff005200ff00435500001600441444ff44ff44ff41544355000017014422560102005200ff0043550000180044345601ff005200ff00435500001901442f5601ff005200ff004354000020005600ff005200ff0043550000210144315601ff005200ff0043550000ff005600ff005200ff00bb
1773510325.589550,C,IN ,5,78,3,064009
1773510325.590769,S,OUT,6,78,5,410901c0f4
1773510325.592006,C,IN ,5,78,4,42410900
1773510325.593384,S,OUT,6,78,5,430901c0f2
1773510325.594603,C,IN ,5,78,26,440916c00016a401aa00000000000016010001aa0000000001b4
1773510325.595711,S,OUT,6,78,3,064409
1773510325.691497,S,OUT,6,78,27,400917c0ff010200000000000000000000000000000000001003ca
1773510325.693234,C,IN ,5,78,3,064009
1773510325.694600,S,OUT,6,78,5,410901c0f4
1773510325.696843,C,IN ,5,78,4,42410901
1773510325.698618,S,OUT,6,78,5,410901c0f4
1773510325.699991,C,IN ,5,78,4,42410901
1773510325.700906,S,OUT,6,78,5,410901c0f4
1773510325.701995,C,IN ,5,78,4,42410901
1773510325.703004,S,OUT,6,78,5,410901c0f4
1773510325.705331,C,IN ,5,78,4,42410901
1773510325.706278,S,OUT,6,78,5,410901c0f4
1773510325.707535,C,IN ,5,78,4,42410901
1773510325.708720,S,OUT,6,78,5,410901c0f4
1773510325.710562,C,IN ,5,78,4,42410901
1773510325.712539,S,OUT,6,78,5,410901c0f4
1773510325.713651,C,IN ,5,78,4,42410901
1773510325.714550,S,OUT,6,78,5,410901c0f4
1773510325.715686,C,IN ,5,78,4,42410900
1773510325.716496,S,OUT,6,78,5,430901c0f2
1773510325.717366,C,IN ,5,78,32,44091cc0ff010200000000000000ff01070001aa0000000001120200055003b5
1773510325.718183,S,OUT,6,78,3,064409
1773510325.906943,S,OUT,6,78,28,400918c0ff0603006300000000000000000000000000000022f080e1
1773510325.908681,C,IN ,5,78,3,064009
1773510325.909089,S,OUT,6,78,5,410901c0f4
1773510325.911902,C,IN ,5,78,4,42410901
1773510325.912295,S,OUT,6,78,5,410901c0f4
1773510325.912965,C,IN ,5,78,4,42410901
1773510325.913284,S,OUT,6,78,5,410901c0f4
1773510325.913846,C,IN ,5,78,4,42410901
1773510325.914168,S,OUT,6,78,5,410901c0f4
1773510325.914661,C,IN ,5,78,4,42410901
1773510325.915027,S,OUT,6,78,5,410901c0f4
1773510325.915384,C,IN ,5,78,4,42410901
1773510325.915646,S,OUT,6,78,5,410901c0f4
1773510325.916041,C,IN ,5,78,4,42410901
1773510325.916326,S,OUT,6,78,5,410901c0f4
1773510325.916777,C,IN ,5,78,4,42410901
1773510325.917077,S,OUT,6,78,5,410901c0f4
1773510325.917406,C,IN ,5,78,4,42410901
